2026-05-30 21:03:04 | constructor          | INFO    | Portfolio on 2021-05-14: 5 stocks, ₹23,935 invested, ₹13,406 cash (70% allocation)
2026-05-30 21:03:17 | constructor          | INFO    | Portfolio on 2021-05-21: 5 stocks, ₹17,828 invested, ₹11,679 cash (70% allocation)
2026-05-30 21:03:30 | constructor          | INFO    | Portfolio on 2021-05-28: 5 stocks, ₹19,317 invested, ₹10,336 cash (70% allocation)
2026-05-30 21:03:44 | constructor          | INFO    | Portfolio on 2021-06-04: 5 stocks, ₹24,892 invested, ₹5,694 cash (100% allocation)
2026-05-30 21:03:57 | constructor          | INFO    | Portfolio on 2021-06-11: 5 stocks, ₹26,159 invested, ₹3,855 cash (100% allocation)
2026-05-30 21:04:10 | constructor          | INFO    | Portfolio on 2021-06-18: 5 stocks, ₹18,183 invested, ₹11,734 cash (70% allocation)
2026-05-30 21:04:24 | constructor          | INFO    | Portfolio on 2021-06-25: 5 stocks, ₹18,273 invested, ₹11,902 cash (70% allocation)
2026-05-30 21:04:38 | constructor          | INFO    | Portfolio on 2021-07-02: 5 stocks, ₹15,543 invested, ₹14,346 cash (70% allocation)
2026-05-30 21:04:52 | constructor          | INFO    | Portfolio on 2021-07-09: 5 stocks, ₹17,876 invested, ₹12,224 cash (70% allocation)
2026-05-30 21:05:05 | constructor          | INFO    | Portfolio on 2021-07-16: 5 stocks, ₹15,522 invested, ₹15,041 cash (70% allocation)
2026-05-30 21:05:19 | constructor          | INFO    | Portfolio on 2021-07-23: 5 stocks, ₹20,150 invested, ₹10,002 cash (70% allocation)
2026-05-30 21:05:33 | constructor          | INFO    | Portfolio on 2021-07-30: 5 stocks, ₹16,970 invested, ₹13,055 cash (70% allocation)
2026-05-30 21:05:46 | constructor          | INFO    | Portfolio on 2021-08-06: 5 stocks, ₹22,085 invested, ₹12,416 cash (70% allocation)
2026-05-30 21:06:00 | constructor          | INFO    | Portfolio on 2021-08-13: 4 stocks, ₹15,896 invested, ₹13,981 cash (70% allocation)
2026-05-30 21:06:14 | constructor          | INFO    | Portfolio on 2021-08-20: 4 stocks, ₹23,032 invested, ₹9,004 cash (100% allocation)
2026-05-30 21:06:28 | constructor          | INFO    | Portfolio on 2021-08-27: 5 stocks, ₹25,708 invested, ₹4,466 cash (100% allocation)
2026-05-30 21:06:41 | constructor          | INFO    | Portfolio on 2021-09-03: 5 stocks, ₹26,856 invested, ₹3,974 cash (100% allocation)
2026-05-30 21:06:55 | constructor          | INFO    | Portfolio on 2021-09-09: 4 stocks, ₹21,379 invested, ₹9,022 cash (100% allocation)
2026-05-30 21:07:09 | constructor          | INFO    | Portfolio on 2021-09-17: 5 stocks, ₹26,233 invested, ₹4,118 cash (100% allocation)
